VOLGNR,LABEL,TYPE,LATMAX,LNGMAX
1,1 kast/volk,punt,52.3672676,4.9010129
2,1 kast/volk,punt,52.3603821,4.9048171
3,1 kast/volk,punt,52.3646164,4.9163699
4,1 kast/volk,punt,52.3850899,4.8775959
5,2 kasten/volken,punt,52.3829994,4.86797
6,6 kasten/volken,punt,52.3750992,4.8494859
7,5 kasten/volken,punt,52.3707886,4.856102
8,14 kasten/volken,punt,52.3349648,4.8364592
9,4 kasten/volken,punt,52.3559074,4.8653512
10,1 kast/volk,punt,52.3358612,4.8745952
11,20 kasten/volken,punt,52.3232956,4.8933969
12,2 kasten/volken,punt,52.356678,4.9737902
13,5 kasten/volken,punt,52.3966103,4.9117398
14,4 kasten/volken,punt,52.4218292,4.8809371
15,1 kast/volk,punt,52.4015884,4.9024739
16,2 kasten/volken,punt,52.3999329,4.9085159
17,1 kast/volk,punt,52.3833008,4.9204898
18,30 kasten/volken,punt,52.3867798,4.961935
19,4 kasten/volken,punt,52.3027153,4.9537358
20,21 kasten/volken,punt,52.4050179,4.9263749
21,2 kasten/volken,punt,52.3763695,4.9002228
22,10 kasten/volken,punt,52.3600616,4.7839599
23,6 + 2 kleintjes kasten/volken,punt,52.379097,4.7717018
24,120 kasten/volken,punt,52.3747215,4.7774458
25,3 kasten/volken,punt,52.3876457,4.8660941
26,2 kasten/volken,punt,52.3362732,4.8745761
27,3 kasten/volken,punt,52.333004,4.9155459
28,14 kasten/volken,punt,52.34972,4.9283571
29,1 kast/volk,punt,52.3491783,4.8926549
30,6 kasten/volken,punt,52.360157,4.835207
31,1 kast/volk,punt,52.3698578,4.9282222
32,5 kasten/volken,punt,52.3639793,4.882287
33,4 kasten/volken,punt,52.3652344,4.8893638
34,7 kasten/volken,punt,52.3871269,4.8641911
35,7 kasten/volken,punt,52.3274994,4.9882898
36,9 kasten/volken,punt,52.3100519,5.0004664
37,5 kasten/volken,punt,52.3861427,4.8689761
38,3 kasten/volken,punt,52.3666725,4.907465
39,10 kasten/volken,punt,52.305687,4.9721808
40,20 kasten/volken,punt,52.3767471,4.9865551
41,20 kasten/volken,punt,52.385128,4.9546499
42,12 kasten/volken,punt,52.3521767,4.9291229
43,1 kast/volk,punt,52.3844337,4.8509002
44,1 kast/volk,punt,52.3768425,4.853312
45,1 kast/volk,punt,52.3813133,4.9120798
46,1 kast/volk,punt,52.3871193,4.8544669
47,3 kasten/volken,punt,52.3865433,4.8347168
48,8 kasten/volken,punt,52.4018211,4.7484941
49,3 kasten/volken,punt,52.3902435,4.804307
50,2 kasten/volken,punt,52.4573555,4.7738819
51,16 kasten/volken,punt,52.3410835,4.8158689
52,3 kasten/volken,punt,52.3731003,4.7819319
53,60 kasten/volken,punt,52.2909698,4.879231
54,12 kasten/volken,punt,52.3222847,4.894846
55,20 kasten/volken,punt,52.3353577,4.8288541
56,2 kasten/volken,punt,52.3690147,4.8438039
57,14 kasten/volken,punt,52.3247375,4.8569012
58,6 kasten/volken,punt,52.3310356,4.8098221
59,1 kast/volk,punt,52.3600998,4.8656979
60,1 kast/volk,punt,52.354084,4.8946409
61,1 kast/volk,punt,52.3685684,4.8641891
62,7 kasten/volken,punt,52.3684921,4.8457918
63,3 kasten/volken,punt,52.289238,4.9641562
64,1 kast/volk,punt,52.3718338,4.9014769
65,2 kasten/volken,punt,52.3683434,4.885438
66,1 kast/volk,punt,52.230648,4.8263302
67,8 kasten/volken,punt,52.3074112,4.8489838
68,1 kast/volk,punt,52.285965,4.8631082
69,4 kasten/volken,punt,52.2765465,4.8513942
70,6 kasten/volken,punt,52.3484497,4.9567389
71,5 kasten/volken,punt,52.3427582,4.9011641
72,2 kasten/volken,punt,52.3382378,4.799706
73,1 kast/volk,punt,52.3414307,4.8801069
74,1 kast/volk,punt,52.3650131,4.8516488
75,12 kasten/volken,punt,52.3403969,4.9385991
76,2 kasten/volken,punt,52.3453598,5.0021
77,1 kast/volk,punt,52.3373489,4.8753262
78,10 kasten/volken,punt,52.3093681,5.0035849
